date,time,sec_dur
"12-28-15  ","11:16     ",3
"12-28-15  ","11:16     ",898
"12-28-15  ","11:16     ",281
"12-28-15  ","11:16     ",141
"12-28-15  ","11:16     ",129
"12-28-15  ","11:16     ",582
"12-28-15  ","11:17     ",853
"12-28-15  ","11:17     ",39
"12-28-15  ","11:17     ",414
"12-28-15  ","11:17     ",65
"12-28-15  ","11:17     ",532
"12-28-15  ","11:17     ",140
"12-28-15  ","11:17     ",1092
"12-28-15  ","11:17     ",8
"12-28-15  ","11:17     ",917
"12-28-15  ","11:17     ",294
"12-28-15  ","11:17     ",813
"12-28-15  ","11:17     ",207
"12-28-15  ","11:17     ",46
"12-28-15  ","11:17     ",1743
"12-28-15  ","11:17     ",287
"12-28-15  ","11:18     ",18
"12-28-15  ","11:18     ",442
"12-28-15  ","11:18     ",140
"12-28-15  ","11:18     ",77
"12-28-15  ","11:18     ",63
"12-28-15  ","11:18     ",581
"12-28-15  ","11:18     ",67
"12-28-15  ","11:18     ",19
"12-28-15  ","11:18     ",96
"12-28-15  ","11:18     ",312
"12-28-15  ","11:18     ",36
"12-28-15  ","11:18     ",388
"12-28-15  ","11:19     ",1045
"12-28-15  ","11:19     ",41
"12-28-15  ","11:19     ",82
"12-28-15  ","11:19     ",141
"12-28-15  ","11:19     ",150
"12-28-15  ","11:19     ",272
"12-28-15  ","11:19     ",1105
"12-28-15  ","11:19     ",982
"12-28-15  ","11:19     ",234
"12-28-15  ","11:19     ",140
"12-28-15  ","11:20     ",278
"12-28-15  ","11:20     ",731
"12-28-15  ","11:20     ",489
"12-28-15  ","11:20     ",886
"12-28-15  ","11:20     ",16
"12-28-15  ","11:20     ",146
"12-28-15  ","11:20     ",1446
"12-28-15  ","11:20     ",304
"12-28-15  ","11:20     ",1471
"12-28-15  ","11:20     ",308
"12-28-15  ","11:20     ",141
"12-28-15  ","11:20     ",1059
"12-28-15  ","11:20     ",1088
"12-28-15  ","11:21     ",489
"12-28-15  ","11:21     ",141
"12-28-15  ","11:21     ",450
"12-28-15  ","11:21     ",612
"12-28-15  ","11:21     ",141
"12-28-15  ","11:21     ",247
"12-28-15  ","11:21     ",264
"12-28-15  ","11:21     ",140
"12-28-15  ","11:21     ",1027
"12-28-15  ","11:21     ",363
"12-28-15  ","11:22     ",38
"12-28-15  ","11:22     ",141
"12-28-15  ","11:22     ",182
"12-28-15  ","11:22     ",436
"12-28-15  ","11:22     ",140
"12-28-15  ","11:22     ",13
"12-28-15  ","11:23     ",315
"12-28-15  ","11:23     ",752
"12-28-15  ","11:23     ",490
"12-28-15  ","11:23     ",229
"12-28-15  ","11:23     ",513
"12-28-15  ","11:23     ",760
"12-28-15  ","11:23     ",256
"12-28-15  ","11:23     ",1125
"12-28-15  ","11:23     ",31
"12-28-15  ","11:23     ",884
"12-28-15  ","11:23     ",1150
"12-28-15  ","11:23     ",10
"12-28-15  ","11:24     ",392
"12-28-15  ","11:24     ",60
"12-28-15  ","11:24     ",6
"12-28-15  ","11:24     ",714
"12-28-15  ","11:24     ",951
"12-28-15  ","11:24     ",765
"12-28-15  ","11:24     ",140
"12-28-15  ","11:24     ",3
"12-28-15  ","11:24     ",297
"12-28-15  ","11:24     ",182
"12-28-15  ","11:24     ",1133
"12-28-15  ","11:25     ",150
"12-28-15  ","11:25     ",817
"12-28-15  ","11:25     ",413
"12-28-15  ","11:25     ",114
"12-28-15  ","11:25     ",140
"12-28-15  ","11:25     ",2096
"12-28-15  ","11:25     ",1090
"12-28-15  ","11:25     ",1022
"12-28-15  ","11:25     ",2
"12-28-15  ","11:25     ",83
"12-28-15  ","11:25     ",141
"12-28-15  ","11:25     ",4
"12-28-15  ","11:25     ",871
"12-28-15  ","11:26     ",359
"12-28-15  ","11:26     ",1253
"12-28-15  ","11:26     ",434
"12-28-15  ","11:26     ",22
"12-28-15  ","11:26     ",141
"12-28-15  ","11:26     ",9
"12-28-15  ","11:26     ",56
"12-28-15  ","11:27     ",337
"12-28-15  ","11:27     ",359
"12-28-15  ","11:27     ",1488
"12-28-15  ","11:27     ",53
"12-28-15  ","11:27     ",300
"12-28-15  ","11:28     ",1464
"12-28-15  ","11:28     ",922
"12-28-15  ","11:28     ",141
"12-28-15  ","11:28     ",1185
"12-28-15  ","11:28     ",36
"12-28-15  ","11:28     ",365
"12-28-15  ","11:28     ",141
"12-28-15  ","11:28     ",671
"12-28-15  ","11:28     ",140
"12-28-15  ","11:28     ",13
"12-28-15  ","11:28     ",269
"12-28-15  ","11:29     ",141
"12-28-15  ","11:29     ",1559
"12-28-15  ","11:29     ",376
"12-28-15  ","11:29     ",31
"12-28-15  ","11:30     ",262
"12-28-15  ","11:30     ",141
"12-28-15  ","11:30     ",62
"12-28-15  ","11:30     ",18
"12-28-15  ","11:30     ",306
"12-28-15  ","11:30     ",174
"12-28-15  ","11:30     ",11
"12-28-15  ","11:31     ",370
"12-28-15  ","11:31     ",1106
"12-28-15  ","11:31     ",141
"12-28-15  ","11:31     ",1350
"12-28-15  ","11:31     ",1117
"12-28-15  ","11:31     ",470
"12-28-15  ","11:32     ",1772
"12-28-15  ","11:32     ",264
"12-28-15  ","11:32     ",100
"12-28-15  ","11:32     ",881
"12-28-15  ","11:32     ",1510
"12-28-15  ","11:32     ",299
"12-28-15  ","11:32     ",799
"12-28-15  ","11:32     ",1469
"12-28-15  ","11:32     ",31
"12-28-15  ","11:32     ",1948
"12-28-15  ","11:32     ",42
"12-28-15  ","11:32     ",331
"12-28-15  ","11:32     ",17
"12-28-15  ","11:33     ",1058
"12-28-15  ","11:33     ",515
